nodenumber     x-coordinate     y-coordinate     z-coordinate
       141   -3.6380734042E-02   -3.2092595326E-02    3.5511173853E-02
       142   -3.6360754693E-02   -1.9299457585E-02    1.2029809793E-01
       143   -3.6359095035E-02   -2.6773913264E-02    4.0084174094E-02
       144   -3.6352333122E-02   -3.0312398093E-02    3.4248015139E-02
       145   -3.6339778395E-02   -3.2763455012E-02    3.8977454779E-02
       146   -3.6318256103E-02   -2.7435863854E-02    3.5641375608E-02
       147   -3.6315469829E-02   -3.2244843855E-02    4.0356670690E-02
       148   -3.6314724742E-02   -2.9535298601E-02    3.4037155617E-02
       149   -3.6311569648E-02   -2.9816055883E-02    3.3947625996E-02
       150   -3.6303170297E-02   -2.6249735869E-02    3.8434783181E-02
       151   -3.6301753663E-02   -2.2480837284E-02    1.2718078118E-01
       152   -3.6295613674E-02   -3.0308827108E-02    3.3786961394E-02
       153   -3.6286839628E-02   -1.9683471096E-02    1.2006342100E-01
       154   -3.6281889465E-02   -3.3186641908E-02    3.8422533101E-02
       155   -3.6280226635E-02   -2.9098483479E-02    4.2292500873E-02
       156   -3.6276469536E-02   -3.1504219361E-02    3.3945314227E-02
       157   -3.6275487644E-02   -2.9910876481E-02    4.2240548045E-02
       158   -3.6275283186E-02   -2.9734968495E-02    3.3685826595E-02
       159   -3.6261323206E-02   -3.3209210862E-02    3.8822812458E-02
       160   -3.6260457764E-02   -3.3290231770E-02    3.6649173211E-02
       161   -3.6258838109E-02   -1.2644859227E-02    1.3282303964E-01
       162   -3.6247276534E-02   -3.3374113912E-02    3.8287572274E-02
       163   -3.6229343106E-02   -2.9922143722E-02    4.2514250276E-02
       164   -3.6219812494E-02   -2.7510734268E-02    3.4701571815E-02
       165   -3.6194522051E-02   -3.1974834690E-02    3.3525678502E-02
       166   -3.6192381012E-02   -3.0866533747E-02    3.3011859748E-02
       167   -3.6186245214E-02   -2.8353265600E-02    3.3664105100E-02
       168   -3.6138642881E-02   -2.9538337900E-02    3.2658645385E-02
       169   -3.6129462102E-02   -3.2783848927E-02    4.1121367015E-02
       170   -3.6128180424E-02   -3.3788184511E-02    3.5878899451E-02
       171   -3.6111683660E-02   -2.6161614879E-02    3.5747172961E-02
       172   -3.6106087308E-02   -2.7865276989E-02    3.3426739188E-02
       173   -3.6093935394E-02   -2.9493907511E-02    4.3347787458E-02
       174   -3.6092105864E-02   -3.3959909407E-02    3.5910638559E-02
       175   -3.6091570464E-02   -3.3946296537E-02    3.8894686901E-02
       176   -3.6078276703E-02   -3.0140724270E-02    3.2055014872E-02
       177   -3.6068584926E-02   -2.5842276596E-02    4.1734857086E-02
