nodenumber     x-coordinate     y-coordinate     z-coordinate
        40    1.1139824091E-03    7.6384815638E-03    4.9274760631E-02
        41    1.1169642888E-03    7.4652554923E-03    4.9463858497E-02
        42    1.1181904696E-03    8.5737903418E-03    4.7552171907E-02
        43    1.1250992922E-03    6.7028436015E-03    4.9083912950E-02
        44    1.1264318825E-03    6.9797732602E-03    4.9794841288E-02
        45    1.1276344621E-03    8.1807650939E-03    4.7105100409E-02
        46    1.1277013792E-03    8.6074587840E-03    4.7738516921E-02
        47    1.1279994330E-03    6.7185875820E-03    4.8941414362E-02
        48    1.1289699853E-03    7.0896272638E-03    4.8098245749E-02
        49    1.1289971590E-03    8.5424721882E-03    4.7215334976E-02
        50    1.1375580469E-03    8.6700493176E-03    4.7532877458E-02
        51    1.1440727605E-03    8.1056638477E-03    4.7041455311E-02
        52    1.1467687353E-03    7.0815102625E-03    4.9906467837E-02
        53    1.1472190395E-03    6.8747763277E-03    4.9971252583E-02
        54    1.1486907200E-03    8.7237125825E-03    4.7557132625E-02
        55    1.1496428158E-03    6.5445967827E-03    4.9453067809E-02
        56    1.1545179773E-03    7.0625477269E-03    4.8033378842E-02
        57    1.1558464143E-03    6.5126396048E-03    4.9474653572E-02
        58    1.1567045045E-03    6.5217963220E-03    4.9690449691E-02
        59    1.1568414823E-03    6.8669666213E-03    4.8371652093E-02
        60    1.1583002885E-03    6.4999370252E-03    4.9484887979E-02
        61    1.1618121970E-03    8.7168836807E-03    4.7792662522E-02
        62    1.1638401369E-03    8.7885989258E-03    4.7435239997E-02
        63    1.1644206757E-03    7.2981363573E-03    4.7664789409E-02
        64    1.1658457517E-03    7.7152459243E-03    4.7214325669E-02
        65    1.1723440348E-03    8.2434980640E-03    4.8786855475E-02
        66    1.1724620250E-03    6.4363731384E-03    5.0000345229E-02
        67    1.1753585864E-03    8.3793982807E-03    4.6817963126E-02
        68    1.1770886360E-03    7.9530034697E-03    4.9196583039E-02
        69    1.1786970452E-03    6.3727975231E-03    4.9810270120E-02
        70    1.1789726058E-03    8.7128449833E-03    4.7948608442E-02
        71    1.1804762138E-03    6.4681701231E-03    4.9205443617E-02
        72    1.1876227083E-03    8.3190080642E-03    4.6768006378E-02
        73    1.1883176936E-03    7.0739907698E-03    4.7891291460E-02
        74    1.1906312694E-03    6.3140220817E-03    4.9851939821E-02
        75    1.1915894855E-03    6.4067958191E-03    5.0224763077E-02
        76    1.1981350955E-03    8.9132544334E-03    4.6961771109E-02
        77    1.1982587985E-03    7.0518332023E-03    5.0183680274E-02
        78    1.2018069269E-03    6.3041351285E-03    4.9522562588E-02
        79    1.2021587930E-03    8.9428287288E-03    4.7044884757E-02
        80    1.2068479370E-03    8.9666356459E-03    4.7178590134E-02
        81    1.2084244466E-03    8.9567650738E-03    4.6940157396E-02
        82    1.2088255435E-03    6.6089779500E-03    5.0366636269E-02
        83    1.2116599300E-03    6.2967725556E-03    4.9453316557E-02
        84    1.2119984775E-03    7.2041792333E-03    5.0147433584E-02
        85    1.2125036906E-03    8.9020994946E-03    4.7715128000E-02
        86    1.2125991440E-03    7.4341383317E-03    4.7338322344E-02
        87    1.2130054924E-03    6.8342179161E-03    4.8199731764E-02
        88    1.2152860880E-03    8.2845419469E-03    4.8892165315E-02
        89    1.2192633079E-03    8.6030483682E-03    4.8391281942E-02
        90    1.2207264240E-03    6.3245758802E-03    4.9267305491E-02
        91    1.2257693775E-03    8.1024032405E-03    4.6686500110E-02
        92    1.2303449771E-03    7.9506289402E-03    4.6767772996E-02
        93    1.2332090332E-03    8.4403531688E-03    4.8717522557E-02
        94    1.2396766385E-03    6.2405882437E-03    5.0510417320E-02
        95    1.2454616209E-03    6.0459523073E-03    4.9923381098E-02
        96    1.2537292975E-03    9.1302886064E-03    4.6890515099E-02
