nodenumber     x-coordinate     y-coordinate     z-coordinate
       159    2.6451277816E-02   -1.5712122062E-01    3.0405663929E-02
       160    2.6455852245E-02   -1.5423625310E-01    2.8643372911E-02
       161    2.6461545323E-02   -1.5679952221E-01    2.8170214143E-02
       162    2.6466513717E-02   -1.5435957783E-01    2.8129315564E-02
       163    2.6474822255E-02   -1.5766510748E-01    3.0125466739E-02
       164    2.6476553132E-02   -1.5804561702E-01    2.9916051790E-02
       165    2.6479227461E-02   -1.5429111232E-01    2.8218326869E-02
       166    2.6481738648E-02   -1.5494639240E-01    3.0369005084E-02
       167    2.6482306311E-02   -1.5762031325E-01    2.8910545348E-02
       168    2.6483020855E-02   -1.5686481059E-01    2.8208938455E-02
       169    2.6484583582E-02   -1.5545715520E-01    2.7483369153E-02
       170    2.6486210930E-02   -1.5439243205E-01    2.9425555014E-02
       171    2.6487313950E-02   -1.5506020017E-01    2.7490667282E-02
       172    2.6492236877E-02   -1.5475036117E-01    3.0072378330E-02
       173    2.6495823733E-02   -1.5492224556E-01    2.7522722275E-02
       174    2.6504662989E-02   -1.5745356682E-01    3.0269916039E-02
       175    2.6504930079E-02   -1.5806117817E-01    2.9933231523E-02
       176    2.6505773812E-02   -1.5464077029E-01    2.7687534506E-02
       177    2.6511528781E-02   -1.5534517495E-01    3.0969644991E-02
       178    2.6527344003E-02   -1.5681320958E-01    3.0645637343E-02
       179    2.6529213187E-02   -1.5425976971E-01    2.9197669569E-02
       180    2.6535230783E-02   -1.5764544580E-01    2.8923562813E-02
       181    2.6536496080E-02   -1.5436455492E-01    2.7921337871E-02
       182    2.6541931216E-02   -1.5633876431E-01    3.0921996600E-02
       183    2.6544878652E-02   -1.5415309670E-01    2.8867144256E-02
       184    2.6547405379E-02   -1.5607592491E-01    3.1072726700E-02
       185    2.6547567764E-02   -1.5470975114E-01    2.7548256443E-02
       186    2.6559698745E-02   -1.5436279620E-01    2.7862556457E-02
       187    2.6571998642E-02   -1.5640611166E-01    3.0911994901E-02
       188    2.6591795235E-02   -1.5409136777E-01    2.8749062682E-02
       189    2.6592093225E-02   -1.5550159547E-01    3.1226792982E-02
       190    2.6593569153E-02   -1.5809816560E-01    2.9493884518E-02
       191    2.6600496235E-02   -1.5797263328E-01    3.0069238991E-02
       192    2.6603289473E-02   -1.5609231692E-01    2.7586762809E-02
       193    2.6603679774E-02   -1.5692510547E-01    3.0653012133E-02
       194    2.6613175132E-02   -1.5579973822E-01    2.7428471542E-02
       195    2.6613646996E-02   -1.5420133293E-01    2.9229064428E-02
       196    2.6620820100E-02   -1.5752787446E-01    2.8780625558E-02
       197    2.6625511196E-02   -1.5529209537E-01    3.0900420790E-02
       198    2.6631364133E-02   -1.5450245548E-01    2.9794391930E-02
       199    2.6633484687E-02   -1.5660612193E-01    2.7898880882E-02
       200    2.6640135105E-02   -1.5512610789E-01    3.0677055670E-02
       201    2.6641423809E-02   -1.5589768590E-01    2.7444704629E-02
       202    2.6642194304E-02   -1.5538466832E-01    3.1036143926E-02
       203    2.6643844314E-02   -1.5419172416E-01    2.9265312926E-02
       204    2.6646294408E-02   -1.5407284428E-01    2.8145577915E-02
       205    2.6651338342E-02   -1.5666781889E-01    2.7936044945E-02
       206    2.6657238299E-02   -1.5414764383E-01    2.9180274269E-02
       207    2.6669491365E-02   -1.5790676711E-01    2.9240677907E-02
       208    2.6670991531E-02   -1.5659548556E-01    3.0897010694E-02
       209    2.6674099253E-02   -1.5641611159E-01    3.0999299674E-02
       210    2.6677923394E-02   -1.5570470887E-01    3.1397268176E-02
       211    2.6678575856E-02   -1.5503844536E-01    3.0567134373E-02
       212    2.6700514347E-02   -1.5748118634E-01    3.0432721390E-02
       213    2.6701394651E-02   -1.5544145299E-01    3.1112534108E-02
       214    2.6708569810E-02   -1.5467546893E-01    3.0097123360E-02
       215    2.6710184847E-02   -1.5808043370E-01    3.0109217869E-02
       216    2.6711289522E-02   -1.5731013971E-01    2.8520123431E-02
       217    2.6715171350E-02   -1.5700124161E-01    2.8196456212E-02
       218    2.6719104652E-02   -1.5549132974E-01    3.1182838553E-02
       219    2.6721100067E-02   -1.5714561468E-01    2.8337182587E-02
       220    2.6721623198E-02   -1.5641876752E-01    2.7699339122E-02
       221    2.6729261035E-02   -1.5711455444E-01    2.8301598535E-02
       222    2.6739662034E-02   -1.5606695268E-01    2.7444752352E-02
       223    2.6742359190E-02   -1.5620768012E-01    2.7537290124E-02
       224    2.6747740385E-02   -1.5770172327E-01    2.8965768718E-02
       225    2.6756973579E-02   -1.5391403688E-01    2.8615021700E-02
       226    2.6757296799E-02   -1.5514376604E-01    2.7085181509E-02
       227    2.6766016854E-02   -1.5802332816E-01    3.0191660131E-02
       228    2.6766825933E-02   -1.5721078969E-01    2.8390795140E-02
       229    2.6773081931E-02   -1.5480045754E-01    3.0285051441E-02
       230    2.6791199591E-02   -1.5611634772E-01    2.7431726092E-02
       231    2.6797011958E-02   -1.5428056660E-01    2.7408354753E-02
       232    2.6803761950E-02   -1.5840881383E-01    3.0012229199E-02
       233    2.6804905500E-02   -1.5787086556E-01    2.9205352406E-02
       234    2.6805293466E-02   -1.5722094696E-01    3.0672319343E-02
       235    2.6810789442E-02   -1.5464038438E-01    3.0093794670E-02
       236    2.6813328365E-02   -1.5711252372E-01    2.8272028816E-02
       237    2.6816827949E-02   -1.5515342042E-01    2.7006473637E-02
       238    2.6832274528E-02   -1.5732291131E-01    2.8502000451E-02
       239    2.6834894232E-02   -1.5688418597E-01    3.0885978675E-02
       240    2.6842037773E-02   -1.5497688142E-01    2.6985239043E-02
       241    2.6843437081E-02   -1.5481294711E-01    3.0319439656E-02
       242    2.6852907133E-02   -1.5469117527E-01    2.7045023749E-02
       243    2.6853223037E-02   -1.5729383065E-01    2.8462471925E-02
       244    2.6857279674E-02   -1.5823553874E-01    2.9786151484E-02
       245    2.6862976605E-02   -1.5431007870E-01    2.7251977175E-02
       246    2.6863364212E-02   -1.5389961097E-01    2.7801860936E-02
       247    2.6865473460E-02   -1.5438495512E-01    2.9790539519E-02
       248    2.6872913146E-02   -1.5384622540E-01    2.7921295537E-02
       249    2.6874975159E-02   -1.5766326437E-01    3.0490419778E-02
       250    2.6883185897E-02   -1.5400153817E-01    2.7545376746E-02
       251    2.6883513631E-02   -1.5513074166E-01    2.6922320952E-02
       252    2.6886554173E-02   -1.5524661810E-01    2.6926782790E-02
