nodenumber     x-coordinate     y-coordinate     z-coordinate
       167    1.7093728799E-02   -1.7788947485E-01    1.1266859852E+00
       168    1.7095673444E-02   -1.8011903838E-01    1.1239588454E+00
       169    1.7095758072E-02   -1.7876226651E-01    1.1267445700E+00
       170    1.7097868450E-02   -1.7691585476E-01    1.1245318692E+00
       171    1.7097987511E-02   -1.7751055210E-01    1.1263586400E+00
       172    1.7098308586E-02   -1.7892605979E-01    1.1266308388E+00
       173    1.7100497302E-02   -1.7696587582E-01    1.1236013884E+00
       174    1.7102250382E-02   -1.7986934546E-01    1.1236296298E+00
       175    1.7107150061E-02   -1.7844468900E-01    1.1269561991E+00
       176    1.7107772947E-02   -1.7726139971E-01    1.1229880914E+00
       177    1.7107966496E-02   -1.7691137429E-01    1.1238136103E+00
       178    1.7109054850E-02   -1.7689100519E-01    1.1245321893E+00
       179    1.7109712338E-02   -1.7702621248E-01    1.1233520195E+00
       180    1.7111077439E-02   -1.7730999642E-01    1.1229353462E+00
       181    1.7111938475E-02   -1.7996297042E-01    1.1237003121E+00
       182    1.7112478404E-02   -1.7905517696E-01    1.1228024930E+00
       183    1.7117282157E-02   -1.7894051745E-01    1.1227566064E+00
       184    1.7119567693E-02   -1.8033780897E-01    1.1242896582E+00
       185    1.7119822660E-02   -1.7863375757E-01    1.1269667785E+00
       186    1.7120327729E-02   -1.7832937143E-01    1.1270239656E+00
       187    1.7122517489E-02   -1.7812071952E-01    1.1269729025E+00
       188    1.7123001589E-02   -1.7748952088E-01    1.1264708416E+00
       189    1.7125630973E-02   -1.7686548747E-01    1.1238828517E+00
       190    1.7126055288E-02   -1.7807931315E-01    1.1269703516E+00
       191    1.7126710805E-02   -1.7758222390E-01    1.1265908262E+00
       192    1.7126822046E-02   -1.7757555740E-01    1.1265841167E+00
       193    1.7128032324E-02   -1.7967171478E-01    1.1258849046E+00
       194    1.7134037181E-02   -1.7819131223E-01    1.1270703126E+00
       195    1.7134501252E-02   -1.8013068681E-01    1.1253702213E+00
       196    1.7134884649E-02   -1.7689732617E-01    1.1250770745E+00
       197    1.7135745642E-02   -1.7893668747E-01    1.1227555866E+00
       198    1.7139318959E-02   -1.7715018717E-01    1.1230141335E+00
       199    1.7142922962E-02   -1.7985020884E-01    1.1257556417E+00
       200    1.7143852663E-02   -1.7762378326E-01    1.1267259286E+00
       201    1.7144213177E-02   -1.7688318507E-01    1.1251180565E+00
       202    1.7144947045E-02   -1.7933106683E-01    1.1264249669E+00
       203    1.7145101230E-02   -1.7898049460E-01    1.1268576581E+00
       204    1.7148439473E-02   -1.7858212555E-01    1.1271521998E+00
       205    1.7148577792E-02   -1.7691573135E-01    1.1233860508E+00
       206    1.7148955107E-02   -1.7770142043E-01    1.1268136306E+00
       207    1.7149530298E-02   -1.7693226303E-01    1.1233438699E+00
       208    1.7152307307E-02   -1.7954846538E-01    1.1231568569E+00
       209    1.7154832298E-02   -1.7686204605E-01    1.1251384236E+00
       210    1.7158730121E-02   -1.7906805199E-01    1.1268421092E+00
       211    1.7159382734E-02   -1.7977067521E-01    1.1233614907E+00
       212    1.7163867183E-02   -1.7733725476E-01    1.1264540309E+00
       213    1.7164384822E-02   -1.7989520066E-01    1.1258091594E+00
       214    1.7165582504E-02   -1.7676051992E-01    1.1242926083E+00
       215    1.7166215732E-02   -1.8037984562E-01    1.1251041657E+00
       216    1.7166535629E-02   -1.7701725765E-01    1.1257685387E+00
       217    1.7170750722E-02   -1.7799208805E-01    1.1271522522E+00
       218    1.7170850082E-02   -1.7953905842E-01    1.1231007567E+00
       219    1.7171847456E-02   -1.8048474969E-01    1.1247151913E+00
       220    1.7173074265E-02   -1.7677665521E-01    1.1248134478E+00
       221    1.7173552665E-02   -1.7901208615E-01    1.1269965214E+00
       222    1.7180091742E-02   -1.7735254449E-01    1.1265627549E+00
       223    1.7180772255E-02   -1.8048636219E-01    1.1243647950E+00
       224    1.7182318869E-02   -1.7742372358E-01    1.1266825178E+00
       225    1.7182665333E-02   -1.7786080365E-01    1.1271085772E+00
       226    1.7182878986E-02   -1.8038273364E-01    1.1239541872E+00
       227    1.7185383275E-02   -1.7913713011E-01    1.1269264772E+00
       228    1.7187140591E-02   -1.7866408300E-01    1.1273459127E+00
       229    1.7187258432E-02   -1.7674300642E-01    1.1247754384E+00
       230    1.7189333474E-02   -1.8045615992E-01    1.1250306970E+00
       231    1.7192123213E-02   -1.7678276874E-01    1.1235305797E+00
       232    1.7194832483E-02   -1.7972606428E-01    1.1232254005E+00
       233    1.7199477026E-02   -1.7954711219E-01    1.1264437201E+00
       234    1.7200760382E-02   -1.7729152042E-01    1.1265673355E+00
       235    1.7201946795E-02   -1.8054070562E-01    1.1247495678E+00
       236    1.7202437491E-02   -1.8032067743E-01    1.1253993615E+00
       237    1.7202570881E-02   -1.7770831746E-01    1.1270800488E+00
       238    1.7205534815E-02   -1.7674007179E-01    1.1235842087E+00
       239    1.7208255984E-02   -1.8012254652E-01    1.1235688964E+00
       240    1.7208499217E-02   -1.7852166577E-01    1.1274901070E+00
       241    1.7209614707E-02   -1.7765255262E-01    1.1270539308E+00
       242    1.7210507084E-02   -1.7727714396E-01    1.1265934527E+00
       243    1.7211963641E-02   -1.7921313732E-01    1.1269971091E+00
       244    1.7215694021E-02   -1.8003495681E-01    1.1258873563E+00
       245    1.7215773555E-02   -1.8053815048E-01    1.1242413052E+00
       246    1.7216215790E-02   -1.8056821382E-01    1.1246214668E+00
       247    1.7217366487E-02   -1.7737857359E-01    1.1267848945E+00
       248    1.7217887395E-02   -1.7793158787E-01    1.1273279721E+00
       249    1.7220275541E-02   -1.7801923066E-01    1.1273899491E+00
       250    1.7220299492E-02   -1.7673447171E-01    1.1234866410E+00
       251    1.7222026806E-02   -1.7850827712E-01    1.1227311291E+00
       252    1.7222074349E-02   -1.8056462974E-01    1.1248334975E+00
       253    1.7228526880E-02   -1.7703065155E-01    1.1228264561E+00
       254    1.7238070803E-02   -1.7663426129E-01    1.1239141470E+00
       255    1.7238924696E-02   -1.7763978683E-01    1.1271680905E+00
       256    1.7240152186E-02   -1.7748043375E-01    1.1270093015E+00
       257    1.7240644977E-02   -1.8046256223E-01    1.1238535383E+00
       258    1.7241671420E-02   -1.7661399592E-01    1.1244724003E+00
       259    1.7242003210E-02   -1.7662216420E-01    1.1246559397E+00
       260    1.7243009183E-02   -1.7953356632E-01    1.1267102434E+00
       261    1.7243211526E-02   -1.7866685579E-01    1.1276780290E+00
       262    1.7244685493E-02   -1.7687125438E-01    1.1230258527E+00
       263    1.7244751855E-02   -1.7873192911E-01    1.1227407959E+00
       264    1.7245055357E-02   -1.7933346298E-01    1.1270273050E+00
       265    1.7246616751E-02   -1.7728672487E-01    1.1267882268E+00
       266    1.7246740070E-02   -1.8043116244E-01    1.1254065373E+00
       267    1.7248391383E-02   -1.8062415039E-01    1.1246481871E+00
       268    1.7248849559E-02   -1.7850834970E-01    1.1277282530E+00
       269    1.7249537934E-02   -1.7898086413E-01    1.1275537753E+00
       270    1.7250951092E-02   -1.7829388985E-01    1.1276906813E+00
       271    1.7251366136E-02   -1.7728775871E-01    1.1268114131E+00
       272    1.7255814889E-02   -1.7944739536E-01    1.1269251083E+00
       273    1.7264324904E-02   -1.7866935421E-01    1.1278230249E+00
       274    1.7265396359E-02   -1.7902464325E-01    1.1276295819E+00
       275    1.7266181845E-02   -1.7764942945E-01    1.1272961869E+00
       276    1.7267901194E-02   -1.7695307329E-01    1.1261924971E+00
       277    1.7269022931E-02   -1.7969474277E-01    1.1266126356E+00
       278    1.7269657596E-02   -1.7966165564E-01    1.1266675334E+00
       279    1.7271538463E-02   -1.7895610150E-01    1.1277322254E+00
       280    1.7271797999E-02   -1.7803608287E-01    1.1276565249E+00
       281    1.7273622510E-02   -1.7944027512E-01    1.1270507199E+00
       282    1.7275552468E-02   -1.7859050261E-01    1.1279034358E+00
       283    1.7284261961E-02   -1.7846887557E-01    1.1279554396E+00
       284    1.7286759675E-02   -1.7674435834E-01    1.1231036616E+00
       285    1.7286961859E-02   -1.7916000797E-01    1.1227595831E+00
       286    1.7291797406E-02   -1.7811386666E-01    1.1278244729E+00
       287    1.7295010801E-02   -1.8067330027E-01    1.1242166708E+00
       288    1.7298223159E-02   -1.8013371499E-01    1.1261020868E+00
       289    1.7298490137E-02   -1.7811208217E-01    1.1278631348E+00
       290    1.7300269317E-02   -1.7660817868E-01    1.1253446230E+00
       291    1.7300699071E-02   -1.7875456769E-01    1.1280703860E+00
       292    1.7304344640E-02   -1.7929573524E-01    1.1275339909E+00
       293    1.7306549627E-02   -1.7870553372E-01    1.1281305981E+00
       294    1.7307208476E-02   -1.7843614870E-01    1.1227238276E+00
       295    1.7307520355E-02   -1.7970231402E-01    1.1229224848E+00
       296    1.7308792747E-02   -1.7894018134E-01    1.1227479604E+00
       297    1.7310985455E-02   -1.7651076589E-01    1.1247630825E+00
       298    1.7311992687E-02   -1.7702126541E-01    1.1265889678E+00
       299    1.7314684770E-02   -1.7652550673E-01    1.1249625436E+00
       300    1.7316211035E-02   -1.8016281159E-01    1.1233532436E+00
       301    1.7316623948E-02   -1.7964671569E-01    1.1269664541E+00
       302    1.7316666368E-02   -1.7649870675E-01    1.1238461595E+00
       303    1.7317867823E-02   -1.7845080585E-01    1.1227240216E+00
       304    1.7319861281E-02   -1.7688579396E-01    1.1226966777E+00
       305    1.7320775083E-02   -1.7789572300E-01    1.1278074391E+00
       306    1.7322418196E-02   -1.7756088199E-01    1.1274529137E+00
       307    1.7324988794E-02   -1.7965738145E-01    1.1228141093E+00
       308    1.7326120766E-02   -1.7785127845E-01    1.1277902903E+00
       309    1.7326470234E-02   -1.7787266664E-01    1.1278154080E+00
       310    1.7327152022E-02   -1.8060666778E-01    1.1253346119E+00
       311    1.7327291522E-02   -1.7654975588E-01    1.1253012813E+00
       312    1.7329717200E-02   -1.7910137358E-01    1.1280538097E+00
       313    1.7329995449E-02   -1.7809708033E-01    1.1280596332E+00
       314    1.7331509533E-02   -1.7965646653E-01    1.1270446941E+00
       315    1.7333412015E-02   -1.7716172703E-01    1.1269570215E+00
       316    1.7333644555E-02   -1.7890703417E-01    1.1227452458E+00
       317    1.7335337801E-02   -1.8008921639E-01    1.1232489372E+00
       318    1.7337816429E-02   -1.7699196864E-01    1.1266513887E+00
       319    1.7339713854E-02   -1.7740547827E-01    1.1273237107E+00
       320    1.7339819883E-02   -1.7787271788E-01    1.1278904989E+00
       321    1.7339882454E-02   -1.7976249392E-01    1.1268987658E+00
       322    1.7342348432E-02   -1.7800864874E-01    1.1280628115E+00
       323    1.7344186355E-02   -1.7652947747E-01    1.1253363873E+00
       324    1.7348300545E-02   -1.7653510420E-01    1.1253844038E+00
       325    1.7350770674E-02   -1.7970070626E-01    1.1270861332E+00
       326    1.7351660614E-02   -1.7872397987E-01    1.1285964885E+00
       327    1.7354359530E-02   -1.8032935064E-01    1.1260375896E+00
       328    1.7357850066E-02   -1.7643570870E-01    1.1248103364E+00
       329    1.7360859549E-02   -1.7996204354E-01    1.1266729526E+00
       330    1.7362121897E-02   -1.7849343789E-01    1.1287272405E+00
       331    1.7362652242E-02   -1.8002150732E-01    1.1231348437E+00
       332    1.7363246968E-02   -1.7718891785E-01    1.1271156240E+00
