nodenumber     x-coordinate     y-coordinate     z-coordinate
       127   -1.4641412577E-02   -5.1737561373E-03    1.2395600924E-01
       128   -1.4582387256E-02    1.3512986867E-03    1.2231808231E-01
       129   -1.4546293388E-02   -6.1629984770E-03    1.1733097428E-01
       130   -1.4514633485E-02   -5.1159282595E-03    1.1426063138E-01
       131   -1.4512401996E-02    1.6304198326E-03    1.2103754881E-01
       132   -1.4464111588E-02    1.1816412347E-03    1.1506682652E-01
       133   -1.4446388841E-02   -1.8427477677E-03    1.1199934773E-01
       134   -1.4413960734E-02    2.7329857132E-05    1.1300103910E-01
       135   -1.4394415546E-02   -5.7771181416E-03    1.2241381596E-01
       136   -1.4348264203E-02   -8.7947009854E-04    1.2399179595E-01
       137   -1.4347180311E-02    6.9197780836E-04    1.1384611711E-01
       138   -1.4340022706E-02   -1.9462704325E-04    1.2385621786E-01
       139   -1.4292667709E-02    5.8285869672E-04    1.2371889475E-01
       140   -1.4252386013E-02   -4.7177586255E-03    1.1328230825E-01
       141   -1.4215490745E-02   -1.8995784523E-03    1.1166313541E-01
       142   -1.4196328267E-02   -5.6660241510E-03    1.1496747266E-01
       143   -1.4184329648E-02   -6.2537156909E-03    1.1744409998E-01
       144   -1.4164662885E-02   -5.0774620368E-03    1.2353527180E-01
       145   -1.4141102506E-02   -3.9474270069E-03    1.2462474490E-01
       146   -1.4134478038E-02    1.2116251383E-03    1.2212914831E-01
       147   -1.4114515722E-02   -5.2196295499E-03    1.1387301911E-01
       148   -1.4038567781E-02   -5.2238435388E-04    1.2419423896E-01
       149   -1.3974081393E-02   -2.7562116852E-03    1.1141110837E-01
       150   -1.3971845053E-02   -3.8360513702E-03    1.2450941240E-01
       151   -1.3957119597E-02   -2.0873560561E-03    1.1128750851E-01
       152   -1.3949183610E-02    1.6110609418E-04    1.2385599943E-01
       153   -1.3909494344E-02    1.7217446951E-03    1.1958942085E-01
       154   -1.3900635046E-02   -6.1224535842E-03    1.1615365268E-01
       155   -1.3882227781E-02    7.8139299351E-05    1.2387332733E-01
       156   -1.3834465991E-02   -3.1085152153E-03    1.1133412451E-01
       157   -1.3825441070E-02    7.4578257103E-04    1.1320263026E-01
       158   -1.3784077779E-02   -4.7531530072E-03    1.2347512793E-01
       159   -1.3778666523E-02   -6.2909612748E-03    1.1723036372E-01
       160   -1.3722440866E-02   -2.4743293383E-03    1.2473349992E-01
       161   -1.3720746643E-02   -2.7187411756E-03    1.1103689040E-01
       162   -1.3690685796E-02   -4.2341373156E-04    1.2411305599E-01
       163   -1.3672189561E-02    1.6808812472E-03    1.1953287560E-01
       164   -1.3653944890E-02    1.7731427544E-03    1.1873282696E-01
       165   -1.3650366187E-02   -5.9921237532E-03    1.2070816284E-01
       166   -1.3593277219E-02   -5.7171956201E-03    1.2150068317E-01
       167   -1.3576161351E-02   -3.8069963289E-03    1.2406959136E-01
       168   -1.3567937263E-02   -1.3830755581E-03    1.2443993983E-01
       169   -1.3559471411E-02    1.5389621971E-03    1.2012710238E-01
       170   -1.3467135778E-02    3.8355666467E-04    1.1210252825E-01
       171   -1.3427252446E-02   -1.5315928852E-03    1.2431325970E-01
       172   -1.3404034351E-02   -3.2705045257E-03    1.1079073857E-01
       173   -1.3393453475E-02    1.1998200386E-03    1.1361541391E-01
       174   -1.3381854497E-02   -3.6976833781E-03    1.2388601079E-01
       175   -1.3294288827E-02   -1.4996864430E-03    1.2413984772E-01
       176   -1.3293839312E-02   -3.1894407981E-03    1.1058987190E-01
       177   -1.3283639565E-02   -1.7361148025E-03    1.1034301887E-01
       178   -1.3250193498E-02   -6.0787379699E-03    1.1979465746E-01
       179   -1.3246930888E-02   -1.3554574442E-03    1.2403479203E-01
       180   -1.3238336522E-02   -6.0680091827E-03    1.1982893467E-01
       181   -1.3227401387E-02   -4.8324571476E-03    1.2262213569E-01
       182   -1.3192940910E-02   -6.1238408991E-04    1.1067984299E-01
       183   -1.3171551397E-02   -1.3079158147E-03    1.2391555689E-01
       184   -1.3157732173E-02    1.7882558904E-03    1.1774063021E-01
       185   -1.3132022592E-02   -3.2907910377E-03    1.1040896360E-01
       186   -1.3112542954E-02   -4.6558181484E-03    1.1154933568E-01
       187   -1.3087630604E-02    5.8210598877E-04    1.2204448948E-01
       188   -1.2951224610E-02    3.3534172666E-04    1.1130171029E-01
       189   -1.2948848938E-02    1.7616522815E-03    1.1778060609E-01
       190   -1.2927812017E-02    1.6736541871E-03    1.1488027482E-01
       191   -1.2925260822E-02   -5.6282928339E-03    1.2079842027E-01
       192   -1.2888454755E-02   -9.4635744791E-04    1.1004160871E-01
       193   -1.2811046328E-02   -2.2852332264E-03    1.2353961640E-01
       194   -1.2787213703E-02   -1.5609133978E-03    1.0966632498E-01
       195   -1.2754364712E-02   -5.9518462749E-03    1.1961083023E-01
       196   -1.2747371860E-02   -6.2995711407E-03    1.1759026782E-01
       197   -1.2694150865E-02    1.2214983988E-03    1.2003262026E-01
       198   -1.2684161577E-02   -4.8729342389E-03    1.1122724484E-01
       199   -1.2678116611E-02   -1.3556161508E-03    1.0956581548E-01
       200   -1.2667350929E-02   -4.8313112094E-03    1.1114565282E-01
       201   -1.2645827231E-02   -2.0851663595E-03    1.2330813143E-01
       202   -1.2637432213E-02   -1.0283288161E-03    1.2303948460E-01
       203   -1.2636587809E-02   -1.5995790334E-05    1.2223903389E-01
       204   -1.2601065478E-02   -4.0158693638E-03    1.1013048350E-01
       205   -1.2588531545E-02   -1.2394616221E-04    1.2228680584E-01
       206   -1.2520226250E-02    1.5334339646E-03    1.1863315981E-01
       207   -1.2507755218E-02   -6.3082197767E-03    1.1551568745E-01
       208   -1.2493162763E-02   -5.1373176782E-04    1.0975633460E-01
       209   -1.2431182608E-02    1.0231029579E-03    1.2018220459E-01
       210   -1.2366575407E-02   -4.1273601927E-03    1.0989125140E-01
       211   -1.2350090107E-02   -1.8033200017E-03    1.0899510475E-01
       212   -1.2277372949E-02   -4.0465846028E-03    1.2209060030E-01
       213   -1.2254435974E-02   -3.8546771501E-03    1.2219884691E-01
       214   -1.2250447789E-02   -4.9626820732E-03    1.2108186725E-01
       215   -1.2218873922E-02   -6.2987479932E-03    1.1492380106E-01
       216   -1.2212158570E-02   -1.4254057184E-03    1.2257545009E-01
       217   -1.2172387622E-02   -2.8904382682E-03    1.2252029597E-01
       218   -1.2158344702E-02    2.2902326466E-04    1.1003236152E-01
       219   -1.2139815823E-02   -5.0371798398E-03    1.2081497065E-01
       220   -1.2126035549E-02    7.9558112454E-04    1.1088504665E-01
       221   -1.2114662747E-02   -3.8395266392E-03    1.0928426650E-01
       222   -1.2093814992E-02    1.3333257095E-03    1.1218991116E-01
       223   -1.2076036268E-02    4.1989129562E-04    1.1017912195E-01
       224   -1.2062701505E-02   -3.1803007657E-04    1.2171066666E-01
       225   -1.2057185127E-02   -4.3655970569E-03    1.0967730000E-01
       226   -1.1994911793E-02   -3.5982833177E-03    1.2198315135E-01
       227   -1.1993592479E-02    1.5414740718E-03    1.1781400806E-01
       228   -1.1946520093E-02   -1.5804571488E-03    1.2223171268E-01
       229   -1.1918843699E-02   -4.9945563407E-03    1.1030722262E-01
       230   -1.1845625475E-02    1.2106188038E-03    1.1146368008E-01
       231   -1.1844460657E-02    1.3988955622E-03    1.1206040192E-01
       232   -1.1791162742E-02   -9.8545177744E-04    1.2178640052E-01
       233   -1.1787642441E-02   -2.1606361689E-04    1.2121384287E-01
       234   -1.1773011931E-02    1.7887621878E-03    1.1540556193E-01
       235   -1.1753710649E-02    3.0701325651E-04    1.2054186854E-01
       236   -1.1715935397E-02    3.1424754078E-04    1.0951267468E-01
       237   -1.1622049792E-02    1.6875941696E-03    1.1642288259E-01
       238   -1.1525775896E-02    1.0284021041E-03    1.1884560396E-01
       239   -1.1479543056E-02    9.4543055323E-04    1.1027396137E-01
       240   -1.1466959970E-02   -5.8737177465E-03    1.1159369210E-01
